日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-06-12,300333,3.94,4.03,4.05,3.9,71881,28702571.0,3.82,2.54,0.1,2.15
2024-06-13,300333,4.07,3.98,4.14,3.93,76502,30702738.0,5.21,-1.24,-0.05,2.29
2024-06-14,300333,3.99,3.97,4.0,3.85,54729,21552716.0,3.77,-0.25,-0.01,1.64
2024-06-17,300333,3.97,3.89,3.99,3.86,67164,26241988.0,3.27,-2.02,-0.08,2.01
2024-06-18,300333,3.89,4.11,4.11,3.85,90877,36574874.0,6.68,5.66,0.22,2.72
2024-06-19,300333,4.1,4.18,4.29,4.08,129548,54718650.0,5.11,1.7,0.07,3.87
2024-06-20,300333,4.16,4.0,4.2,3.99,88668,36157948.0,5.02,-4.31,-0.18,2.65
2024-06-21,300333,4.0,4.23,4.47,3.88,247062,103115332.0,14.75,5.75,0.23,7.39
2024-06-24,300333,4.14,5.08,5.08,3.88,477874,216116056.0,28.37,20.09,0.85,14.29
2024-06-25,300333,5.2,5.57,5.93,5.2,954837,525524066.0,14.37,9.65,0.49,28.56
2024-06-26,300333,5.02,5.8,6.14,4.8,800365,430019366.0,24.06,4.13,0.23,23.94
2024-06-27,300333,5.49,5.28,5.68,5.25,590858,320038307.0,7.41,-8.97,-0.52,17.67
2024-06-28,300333,5.09,4.83,5.16,4.8,517252,255974699.0,6.82,-8.52,-0.45,15.47
2024-07-01,300333,4.81,5.01,5.17,4.64,473861,235171486.0,10.97,3.73,0.18,14.15
2024-07-02,300333,4.95,6.01,6.01,4.95,518399,293865097.0,21.16,19.96,1.0,15.48
2024-07-03,300333,6.25,5.76,6.72,5.7,1026371,642389104.0,16.97,-4.16,-0.25,30.66
2024-07-04,300333,5.65,5.93,6.29,5.65,737514,443818552.0,11.11,2.95,0.17,22.03
2024-07-05,300333,5.69,5.49,5.83,5.3,587811,324482290.0,8.94,-7.42,-0.44,17.56
2024-07-08,300333,5.4,5.02,5.45,4.99,446783,229005402.0,8.38,-8.56,-0.47,13.35
2024-07-09,300333,4.97,5.2,5.28,4.78,466000,234639100.0,9.96,3.59,0.18,13.92
2024-07-10,300333,5.15,5.01,5.35,4.97,399252,204869925.0,7.31,-3.65,-0.19,11.93
2024-07-11,300333,5.18,5.11,5.25,5.04,321201,164077917.0,4.19,2.0,0.1,9.59
2024-07-12,300333,5.06,4.88,5.22,4.87,355147,178701471.0,6.85,-4.5,-0.23,10.61
