日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-06-12,300521,9.53,9.91,10.05,9.53,17072,16873640.0,5.46,3.99,0.38,1.19
2024-06-13,300521,10.11,9.85,10.24,9.8,14746,14686150.0,4.44,-0.61,-0.06,1.02
2024-06-14,300521,9.86,9.82,9.93,9.67,11153,10989621.0,2.64,-0.3,-0.03,0.77
2024-06-17,300521,9.81,10.16,10.32,9.56,30171,30491253.0,7.74,3.46,0.34,2.1
2024-06-18,300521,10.09,10.28,10.36,10.02,23318,23915375.0,3.35,1.18,0.12,1.62
2024-06-19,300521,10.23,10.18,10.35,10.13,19808,20344784.0,2.14,-0.97,-0.1,1.38
2024-06-20,300521,10.0,9.87,10.2,9.86,17539,17615553.0,3.34,-3.05,-0.31,1.22
2024-06-21,300521,9.75,10.03,10.15,9.65,24100,24058544.0,5.07,1.62,0.16,1.67
2024-06-24,300521,10.11,9.77,10.11,9.66,21901,21548368.0,4.49,-2.59,-0.26,1.52
2024-06-25,300521,9.69,9.81,10.04,9.66,11934,11787781.0,3.89,0.41,0.04,0.83
2024-06-26,300521,9.76,10.15,10.2,9.62,14512,14452517.0,5.91,3.47,0.34,1.01
2024-06-27,300521,10.19,9.97,10.44,9.96,17438,17752030.0,4.73,-1.77,-0.18,1.21
2024-06-28,300521,9.96,10.26,10.34,9.82,16545,16961540.0,5.22,2.91,0.29,1.15
2024-07-01,300521,10.36,10.49,10.49,10.06,17231,17769393.0,4.19,2.24,0.23,1.2
2024-07-02,300521,10.46,10.96,11.22,10.33,35480,38354635.0,8.48,4.48,0.47,2.46
2024-07-03,300521,10.87,11.32,11.53,10.72,45281,50963310.0,7.39,3.28,0.36,3.14
2024-07-04,300521,11.32,11.17,11.66,10.93,44310,50019423.0,6.45,-1.33,-0.15,3.08
2024-07-05,300521,11.23,11.13,11.44,11.02,27912,31430469.0,3.76,-0.36,-0.04,1.94
2024-07-08,300521,11.09,11.06,11.29,10.96,19850,22162912.0,2.96,-0.63,-0.07,1.38
2024-07-09,300521,11.0,11.22,11.22,10.67,25875,28577387.0,4.97,1.45,0.16,1.8
2024-07-10,300521,11.14,11.33,11.37,10.97,21365,23970648.0,3.57,0.98,0.11,1.48
2024-07-11,300521,11.4,11.45,11.51,11.13,32714,37186403.0,3.35,1.06,0.12,2.27
2024-07-12,300521,11.44,11.32,11.6,11.21,22170,25366209.0,3.41,-1.14,-0.13,1.54
2024-07-15,300521,11.21,10.89,11.28,10.82,21701,24034144.0,4.06,-3.8,-0.43,1.51
2024-07-16,300521,10.89,10.87,11.05,10.67,17912,19493973.0,3.49,-0.18,-0.02,1.24
2024-07-17,300521,11.03,11.1,11.31,10.78,17815,19904117.0,4.88,2.12,0.23,1.24
2024-07-18,300521,11.06,11.17,11.21,10.89,12498,13890383.0,2.88,0.63,0.07,0.87
2024-07-19,300521,11.18,11.01,11.25,10.91,22886,25541843.0,3.04,-1.43,-0.16,1.59
2024-07-22,300521,10.97,11.07,11.19,10.96,10629,11846489.0,2.09,0.54,0.06,0.74
2024-07-23,300521,11.04,10.87,11.16,10.76,14287,15708378.0,3.61,-1.81,-0.2,0.99
2024-07-24,300521,10.87,10.74,10.93,10.72,11129,12077567.0,1.93,-1.2,-0.13,0.77
2024-07-25,300521,10.74,10.73,10.86,10.58,8147,8771830.0,2.61,-0.09,-0.01,0.57
2024-07-26,300521,10.72,10.71,10.9,10.64,10115,10892390.0,2.42,-0.19,-0.02,0.7
2024-07-29,300521,10.71,10.81,11.02,10.69,11452,12475270.0,3.08,0.93,0.1,0.8
2024-07-30,300521,10.8,10.68,10.8,10.56,8448,9072228.0,2.22,-1.2,-0.13,0.59
2024-07-31,300521,10.69,10.97,11.05,10.62,14366,15660258.0,4.03,2.72,0.29,1.0
2024-08-01,300521,11.05,11.11,11.29,10.99,13558,15183033.0,2.73,1.28,0.14,0.94
2024-08-02,300521,10.97,10.66,11.03,10.58,17385,18790828.0,4.05,-4.05,-0.45,1.21
2024-08-05,300521,10.67,10.04,10.75,10.0,20960,21634855.0,7.04,-5.82,-0.62,1.46
2024-08-06,300521,10.21,10.41,10.54,10.14,15436,16050920.0,3.98,3.69,0.37,1.07
2024-08-07,300521,10.42,10.4,10.59,10.36,9791,10291369.0,2.21,-0.1,-0.01,0.68
2024-08-08,300521,10.55,10.19,10.55,10.06,9942,10170405.0,4.71,-2.02,-0.21,0.69
2024-08-09,300521,10.34,10.2,10.42,10.16,6178,6350047.0,2.55,0.1,0.01,0.43
2024-08-12,300521,10.1,10.09,10.2,9.95,6576,6633767.0,2.45,-1.08,-0.11,0.46
2024-08-13,300521,10.09,10.27,10.27,10.01,8299,8484181.0,2.58,1.78,0.18,0.58
2024-08-14,300521,10.19,10.39,10.48,10.19,7601,7938137.0,2.82,1.17,0.12,0.53
2024-08-15,300521,10.39,10.43,10.5,10.24,8748,9106898.0,2.5,0.38,0.04,0.61
2024-08-16,300521,10.47,10.52,10.7,10.36,8529,9037037.0,3.26,0.86,0.09,0.59
2024-08-19,300521,10.64,10.45,10.93,10.44,15218,16354219.0,4.66,-0.67,-0.07,1.06
2024-08-20,300521,10.83,10.29,10.83,10.23,9632,10007031.0,5.74,-1.53,-0.16,0.67
2024-08-21,300521,10.26,10.22,10.35,10.18,9076,9321272.0,1.65,-0.68,-0.07,0.63
2024-08-22,300521,10.21,9.97,10.3,9.96,8460,8543512.0,3.33,-2.45,-0.25,0.59
2024-08-23,300521,9.97,9.84,10.0,9.71,8969,8890391.0,2.91,-1.3,-0.13,0.62
2024-08-26,300521,9.89,10.07,10.13,9.79,9324,9361375.0,3.46,2.34,0.23,0.65
2024-08-27,300521,10.1,9.55,10.11,9.51,15617,15265378.0,5.96,-5.16,-0.52,1.08
2024-08-28,300521,9.59,9.68,9.83,9.49,6686,6487784.0,3.56,1.36,0.13,0.46
2024-08-29,300521,9.56,11.62,11.62,9.47,60743,68146275.0,22.21,20.04,1.94,4.22
2024-08-30,300521,12.44,11.54,12.76,11.32,144776,173819791.0,12.39,-0.69,-0.08,10.05
2024-09-02,300521,11.06,13.19,13.86,11.06,203093,263517472.0,24.26,14.3,1.65,14.1
2024-09-03,300521,12.17,12.16,12.48,11.66,173562,208613795.0,6.22,-7.81,-1.03,12.05
2024-09-04,300521,11.84,11.52,11.98,11.21,95968,110999790.0,6.33,-5.26,-0.64,6.66
2024-09-05,300521,11.42,11.23,11.44,10.93,67368,75157422.0,4.43,-2.52,-0.29,4.68
2024-09-06,300521,11.1,10.47,11.16,10.42,61546,66842869.0,6.59,-6.77,-0.76,4.27
2024-09-09,300521,10.45,10.51,10.63,10.26,37211,39124383.0,3.53,0.38,0.04,2.58
2024-09-10,300521,10.53,10.43,10.56,10.19,33160,34465523.0,3.52,-0.76,-0.08,2.3
2024-09-11,300521,10.48,10.38,10.7,10.34,27566,29028597.0,3.45,-0.48,-0.05,1.91
2024-09-12,300521,10.55,10.55,10.67,10.2,43368,45522308.0,4.53,1.64,0.17,3.01
2024-09-13,300521,10.45,10.02,10.52,10.01,35626,36266910.0,4.83,-5.02,-0.53,2.47
2024-09-18,300521,10.13,9.95,10.16,9.84,18502,18474120.0,3.19,-0.7,-0.07,1.28
2024-09-19,300521,10.11,10.18,10.24,9.96,19356,19745833.0,2.81,2.31,0.23,1.34
2024-09-20,300521,10.21,10.14,10.22,10.08,11148,11360170.0,1.38,-0.39,-0.04,0.77
2024-09-23,300521,10.14,10.19,10.25,10.04,11517,11787421.0,2.07,0.49,0.05,0.8
2024-09-24,300521,10.21,10.39,10.4,10.14,20877,21619639.0,2.55,1.96,0.2,1.45
2024-09-25,300521,10.44,10.45,10.75,10.4,30491,32369955.0,3.37,0.58,0.06,2.12
2024-09-26,300521,10.46,10.66,10.69,10.46,22808,24284046.0,2.2,2.01,0.21,1.58
2024-09-27,300521,10.86,11.23,11.36,10.69,43478,48181783.0,6.29,5.35,0.57,3.02
2024-09-30,300521,11.56,12.9,13.05,11.53,89848,110864059.0,13.54,14.87,1.67,6.24
2024-10-08,300521,15.36,14.7,15.36,13.36,94981,134363090.0,15.5,13.95,1.8,6.6
2024-10-09,300521,14.11,13.16,14.18,13.16,66298,91634691.0,6.94,-10.48,-1.54,4.6
2024-10-10,300521,13.29,13.32,13.86,12.91,42848,57209914.0,7.22,1.22,0.16,2.98
2024-10-11,300521,13.32,12.38,13.32,12.23,31608,39913358.0,8.18,-7.06,-0.94,2.2
2024-10-14,300521,12.57,13.18,13.24,12.24,34978,45047817.0,8.08,6.46,0.8,2.43
2024-10-15,300521,13.2,12.94,13.34,12.86,23525,30892988.0,3.64,-1.82,-0.24,1.63
2024-10-16,300521,12.53,12.9,13.11,12.48,29307,37652251.0,4.87,-0.31,-0.04,2.04
2024-10-17,300521,13.05,12.74,13.28,12.74,22170,28846896.0,4.19,-1.24,-0.16,1.54
2024-10-18,300521,12.76,13.25,13.46,12.72,33012,43795042.0,5.81,4.0,0.51,2.29
2024-10-21,300521,13.37,13.78,14.08,13.36,44878,61626104.0,5.43,4.0,0.53,3.12
2024-10-22,300521,13.78,13.8,14.4,13.52,33064,46173674.0,6.39,0.15,0.02,2.3
2024-10-23,300521,13.81,13.62,14.04,13.51,25144,34732232.0,3.84,-1.3,-0.18,1.75
2024-10-24,300521,13.63,13.42,13.63,13.36,17456,23546591.0,1.98,-1.47,-0.2,1.21
2024-10-25,300521,13.53,13.64,13.74,13.42,25494,34599710.0,2.38,1.64,0.22,1.77
2024-10-28,300521,13.64,14.13,14.31,13.49,44182,62276005.0,6.01,3.59,0.49,3.07
